NA27	HSB
Δίδυμος	दिदुमुस
Ἰησοῦς	यीशु
Θωμᾶς	थोमा
Ἰησοῦς	यीशु
Θωμᾷ	थोमा
Θωμᾷ	से
Θωμᾶς	थोमा
Θωμᾶς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
χριστὸς	मसीह
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Τιβεριάδος	तिबिरियास
Σίμων	शमौन
Πέτρος	पतरस
Θωμᾶς	थोमा
Δίδυμος	दिदुमुस
Ναθαναὴλ	नतनएल
Κανὰ	काना
Γαλιλαίας	गलील
Γαλιλαίας	के
Ζεβεδαίου	ज़ब्दी
Ζεβεδαίου	के
Σίμων	शमौन
Πέτρος	पतरस
Πέτρος	ने
Ἰησοῦς	यीशु
Ἰησοῦς	यीशु
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Πέτρῳ	पतरस
Πέτρῳ	से
Σίμων	शमौन
Πέτρος	पतरस
Πέτρος	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Σίμων	शमौन
Πέτρος	पतरस
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	यीशु
Σίμωνι	शमौन
Πέτρῳ	पतरस
Πέτρῳ	से
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Σίμων	शमौन
Ἰωάννου	यूहन्‍ना
Ἰωάννου	के
Σίμων	शमौन
Ἰωάννου	यूहन्‍ना
Ἰωάννου	के
Σίμων	शमौन
Ἰωάννου	यूहन्‍ना
Ἰωάννου	के
Πέτρος	पतरस
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Πέτρος	पतरस
Πέτρος	ने
Ἰησοῦς	यीशु
Πέτρος	पतरस
Πέτρος	ने
Ἰησοῦ	यीशु
Ἰησοῦ	से
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Θεόφιλε	थियुफिलुस
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Ἱεροσολύμων	यरूशलेम
Ἰωάννης	यूहन्‍ना
Ἰωάννης	ने
Ἰσραήλ	इस्राएल
Ἰσραήλ	के
Ἰερουσαλὴμ	यरूशलेम
Ἰουδαίᾳ	यहूदिया
Σαμαρείᾳ	सामरिया
Ἰησοῦς	यीशु
Ἰερουσαλὴμ	यरूशलेम
Ἰερουσαλὴμ	यरूशलेम
Ἰερουσαλὴμ	के
Πέτρος	पतरस
Ἰωάννης	यूहन्‍ना
Ἰάκωβος	याकूब
Ἀνδρέας	अंद्रियास
Φίλιππος	फिलिप्पुस
Θωμᾶς	थोमा
Βαρθολομαῖος	बरतुल्मै
Μαθθαῖος	मत्ती
Ἰάκωβος	याकूब
Ἁλφαίου	हलफई
Ἁλφαίου	का
Ἁλφαίου	पुत्र
Σίμων	शमौन
Ἰούδας	यहूदा
Ἰακώβου	याकूब
Ἰακώβου	का
Ἰακώβου	पुत्र
Μαριὰμ	मरियम
Ἰησοῦ	यीशु
Ἰησοῦ	की
Πέτρος	पतरस
Πέτρος	ने
Δαυὶδ	दाऊद
Δαυὶδ	के
Ἰούδα	यहूदा
Ἰούδα	के
Ἰησοῦν	यीशु
Ἰησοῦν	को
Ἰερουσαλήμ	यरूशलेम
Ἁκελδαμάχ	हकलदमा
Ἰησοῦς	यीशु
Ἰωάννου	यूहन्‍ना
Ἰωάννου	के
Ἰωσὴφ	यूसुफ
Βαρσαββᾶν	बरसब्बा
Ἰοῦστος	यूस्तुस
Μαθθίαν	मत्तियाह
Μαθθίαν	को
Ἰούδας	यहूदा
Μαθθίαν	मत्तियाह
Ἰερουσαλὴμ	यरूशलेम
Πάρθοι	पारथी
Μῆδοι	मेदी
Ἐλαμῖται	एलामी
Μεσοποταμίαν	मेसोपोटामिया
Ἰουδαίαν	यहूदिया
Καππαδοκίαν	कप्पदूकिया
Πόντον	पुंतुस
Ἀσίαν	आसिया
Φρυγίαν	फ्रूगिया
Παμφυλίαν	पंफूलिया
Αἴγυπτον	मिस्र
Λιβύης	लिबिया
Λιβύης	के
Κυρήνην	कुरेने
Κρῆτες	क्रेती
Ἄραβες	अरबी
Πέτρος	पतरस
Πέτρος	ने
Ἰερουσαλὴμ	यरूशलेम
Ἰωήλ	योएल
Ἰσραηλῖται	इस्राएलियो
Ἰσραηλῖται	हे
Ἰησοῦν	यीशु
Ναζωραῖον	नासरी
Δαυὶδ	दाऊद
Δαυὶδ	दाऊद
Δαυὶδ	के
Χριστοῦ	मसीह
Χριστοῦ	के
Ἰησοῦν	यीशु
Ἰησοῦν	को
Δαυὶδ	दाऊद
Ἰσραὴλ	इस्राएल
Ἰσραὴλ	का
χριστὸν	मसीह
Ἰησοῦν	यीशु
Ἰησοῦν	को
Πέτρον	पतरस
Πέτρος	पतरस
Πέτρος	ने
Ἰησοῦ	यीशु
Χριστοῦ	मसीह
Χριστοῦ	के
Πέτρος	पतरस
Ἰωάννης	यूहन्‍ना
Πέτρον	पतरस
Ἰωάννην	यूहन्‍ना
Πέτρος	पतरस
Πέτρος	ने
Ἰωάννῃ	यूहन्‍ना
Πέτρος	पतरस
Πέτρος	ने
Ἰησοῦ	यीशु
Χριστοῦ	मसीह
Ναζωραίου	नासरी
Ναζωραίου	के
Πέτρον	पतरस
Ἰωάννην	यूहन्‍ना
Ἰωάννην	को
Σολομῶντος	सुलैमान
Σολομῶντος	का
Πέτρος	पतरस
Πέτρος	ने
Ἰσραηλῖται	इस्राएलियो
Ἰσραηλῖται	हे
Ἀβραὰμ	अब्राहम
Ἀβραὰμ	के
Ἰσαὰκ	इसहाक
Ἰσαὰκ	के
Ἰακώβ	याकूब
Ἰακώβ	के
Ἰησοῦν	यीशु
Ἰησοῦν	को
Πιλάτου	उसके
χριστὸν	मसीह
χριστὸν	मसीह
Ἰησοῦν	यीशु
Ἰησοῦν	को
Μωϋσῆς	मूसा
Μωϋσῆς	ने
Σαμουὴλ	शमूएल
Ἀβραάμ	अब्राहम
Σαδδουκαῖοι	सदूकी
Ἰησοῦ	यीशु
Ἰερουσαλήμ	यरूशलेम
Ἅννας	हन्‍ना
Καϊάφας	काइफा
Ἰωάννης	यूहन्‍ना
Ἀλέξανδρος	सिकंदर
Πέτρος	पतरस
Πέτρος	ने
Ἰσραὴλ	इस्राएल
Ἰσραὴλ	के
Ἰησοῦ	यीशु
Χριστοῦ	मसीह
Ναζωραίου	नासरी
Ναζωραίου	के
Πέτρου	पतरस
Ἰωάννου	यूहन्‍ना
Ἰωάννου	के
Ἰησοῦ	यीशु
Ἰερουσαλὴμ	यरूशलेम
Ἰησοῦ	यीशु
Ἰησοῦ	के
Πέτρος	पतरस
Ἰωάννης	यूहन्‍ना
Ἰωάννης	ने
Δαυὶδ	दाऊद
Δαυὶδ	के
χριστοῦ	अभिषिक्‍त
Ἰησοῦν	यीशु
Ἡρῴδης	हेरोदेस
Πόντιος	पुंतियुस
Πιλᾶτος	पिलातुस
Ἰησοῦ	यीशु
Ἰησοῦ	के
Ἰησοῦ	यीशु
Ἰησοῦ	के
Ἰωσὴφ	यूसुफ
Βαρναβᾶς	बरनाबास
Λευίτης	लेवी
Λευίτης	एक
Κύπριος	साइप्रस
Ἁνανίας	हनन्याह
Σαπφίρῃ	सफीरा
Σαπφίρῃ	के
Πέτρος	पतरस
Πέτρος	ने
Ἁνανία	हनन्याह
σατανᾶς	शैतान
σατανᾶς	ने
Ἁνανίας	हनन्याह
Πέτρος	पतरस
Πέτρος	ने
Πέτρος	पतरस
Πέτρος	ने
Σολομῶντος	सुलैमान
Σολομῶντος	के
Πέτρου	पतरस
Ἰερουσαλὴμ	यरूशलेम
Ἰερουσαλὴμ	के
Σαδδουκαίων	सदूकी
Ἰσραὴλ	इस्राएलियों
Ἰσραὴλ	के
Ἰερουσαλὴμ	यरूशलेम
Ἰερουσαλὴμ	को
Πέτρος	पतरस
Ἰησοῦν	यीशु
Ἰησοῦν	को
Ἰσραὴλ	इस्राएल
Ἰσραὴλ	को
Φαρισαῖος	फरीसी
Φαρισαῖος	ने
Γαμαλιήλ	गमलीएल
Ἰσραηλῖται	इस्राएलियो
Ἰσραηλῖται	हे
Θευδᾶς	थियूदास
Ἰούδας	यहूदा
Ἰησοῦ	यीशु
Ἰησοῦ	के
χριστὸν	मसीह
Ἰησοῦν	यीशु
Ἑλληνιστῶν	यूनानी
Ἑλληνιστῶν	बोलनेवाले
Ἑλληνιστῶν	यहूदी
Φίλιππον	फिलिप्पुस
Πρόχορον	प्रुखुरुस
Νικάνορα	नीकानोर
Τίμωνα	तीमोन
Παρμενᾶν	परमिनास
Νικόλαον	नीकुलाउस
Νικόλαον	को
Ἀντιοχέα	अंताकिया
Ἰερουσαλὴμ	यरूशलेम
Λιβερτίνων	लिबिरतीन
Κυρηναίων	कुरेनी
Ἀλεξανδρέων	सिकंदरिया
Ἀλεξανδρέων	से
Κιλικίας	किलिकिया
Ἀσίας	आसिया
Μωϋσῆν	मूसा
Ἰησοῦς	यीशु
Ναζωραῖος	नासरी
Μωϋσῆς	मूसा
Μωϋσῆς	ने
Ἀβραὰμ	अब्राहम
Ἀβραὰμ	के
Μεσοποταμίᾳ	मेसोपोटामिया
Χαρρὰν	हारान
Χαλδαίων	कसदियों
Χαλδαίων	के
Χαρράν	हारान
Ἰσαὰκ	इसहाक
Ἰσαὰκ	इसहाक
Ἰακώβ	याकूब
Ἰακὼβ	याकूब
Ἰωσὴφ	यूसुफ
Ἰωσὴφ	से
Αἴγυπτον	मिस्र
Φαραὼ	फिरौन
Φαραὼ	के
Αἰγύπτου	मिस्र
Αἰγύπτου	के
Αἴγυπτον	मिस्र
Αἴγυπτον	मिस्र
Χανάαν	कनान
Ἰακὼβ	याकूब
Ἰακὼβ	ने
Αἴγυπτον	मिस्र
Ἰωσὴφ	यूसुफ
Ἰωσὴφ	ने
Φαραὼ	फिरौन
Φαραὼ	को
Ἰωσήφ	यूसुफ
Ἰωσήφ	के
Ἰωσὴφ	यूसुफ
Ἰωσὴφ	ने
Ἰακὼβ	याकूब
Ἰακὼβ	याकूब
Αἴγυπτον	मिस्र
Συχὲμ	शकेम
Ἀβραὰμ	अब्राहम
Ἀβραὰμ	ने
Ἐμμὼρ	हमोर
Ἐμμὼρ	के
Συχέμ	शकेम
Ἀβραάμ	अब्राहम
Ἀβραάμ	से
Αἰγύπτῳ	मिस्र
Αἴγυπτον	मिस्र
Ἰωσήφ	यूसुफ
Ἰωσήφ	को
Μωϋσῆς	मूसा
Φαραὼ	फिरौन
Φαραὼ	की
Μωϋσῆς	मूसा
Ἰσραήλ	इस्राएली
Μωϋσῆς	मूसा
Μαδιάμ	मिद्यान
Σινᾶ	सीनै
Μωϋσῆς	मूसा
Ἀβραὰμ	अब्राहम
Ἰσαὰκ	इसहाक
Ἰακώβ	याकूब
Ἰακώβ	का
Μωϋσῆς	मूसा
Αἰγύπτῳ	मिस्र
Αἴγυπτον	मिस्र
Μωϋσῆν	मूसा
Αἰγύπτῳ	मिस्र
Μωϋσῆς	मूसा
Σινᾶ	सीनै
Αἴγυπτον	मिस्र
Ἀαρών	हारून
Ἀαρών	से
Μωϋσῆς	मूसा
Αἰγύπτου	मिस्र
Ἰσραήλ	इस्राएल
Ἰσραήλ	के
Μόλοχ	मोलेक
Μόλοχ	के
Ῥαιφάν	रिफान
Βαβυλῶνος	बेबीलोन
Βαβυλῶνος	के
Μωϋσῇ	मूसा
Μωϋσῇ	से
Ἰησοῦ	यहोशू
Ἰησοῦ	के
Δαυίδ	दाऊद
Δαυίδ	के
Ἰακώβ	याकूब
Ἰακώβ	के
Σολομὼν	सुलैमान
Σολομὼν	ने
Ἰησοῦν	यीशु
Ἰησοῦν	को
Σαύλου	शाऊल
Ἰησοῦ	यीशु
Σαῦλος	शाऊल
Ἱεροσολύμοις	यरूशलेम
Ἰουδαίας	यहूदिया
Σαμαρείας	सामरिया
Σαμαρείας	के
Σαῦλος	शाऊल
Φίλιππος	फिलिप्पुस
Σαμαρείας	सामरिया
Χριστόν	मसीह
Φιλίππου	फिलिप्पुस
Φιλίππου	की
Σίμων	शमौन
Σαμαρείας	सामरिया
Σαμαρείας	के
Φιλίππῳ	फिलिप्पुस
Ἰησοῦ	यीशु
Χριστοῦ	मसीह
Χριστοῦ	के
Σίμων	शमौन
Σίμων	ने
Φιλίππῳ	फिलिप्पुस
Φιλίππῳ	के
Φιλίππῳ	साथ
Ἱεροσολύμοις	यरूशलेम
Σαμάρεια	सामरियों
Σαμάρεια	ने
Πέτρον	पतरस
Ἰωάννην	यूहन्‍ना
Ἰωάννην	को
Ἰησοῦ	यीशु
Ἰησοῦ	के
Σίμων	शमौन
Σίμων	ने
Πέτρος	पतरस
Πέτρος	ने
Σίμων	शमौन
Σίμων	ने
Ἱεροσόλυμα	यरूशलेम
Σαμαριτῶν	सामरिया
Σαμαριτῶν	के
Φίλιππον	फिलिप्पुस
Ἰερουσαλὴμ	यरूशलेम
Γάζαν	गाज़ा
Αἰθίοψ	इथियोपिया
Κανδάκης	कंदाके
Κανδάκης	का
Αἰθιόπων	इथियोपिया
Αἰθιόπων	की
Ἰερουσαλήμ	यरूशलेम
Ἠσαΐαν	यशायाह
Φιλίππῳ	फिलिप्पुस
Φιλίππῳ	से
Φίλιππος	फिलिप्पुस
Ἠσαΐαν	यशायाह
Φίλιππον	फिलिप्पुस
Φιλίππῳ	फिलिप्पुस
Φιλίππῳ	से
Φίλιππος	फिलिप्पुस
Φίλιππος	ने
Ἰησοῦν	यीशु
Φίλιππος	फिलिप्पुस
Φίλιππον	फिलिप्पुस
Φίλιππον	को
Φίλιππος	फिलिप्पुस
Φίλιππος	ने
Ἄζωτον	अशदोद
Καισάρειαν	कैसरिया
Σαῦλος	शाऊल
Δαμασκὸν	दमिश्क
Ἰερουσαλήμ	यरूशलेम
Δαμασκῷ	दमिश्क
Δαμασκῷ	के
Σαοὺλ	शाऊल
Σαοὺλ	हे
Σαούλ	शाऊल
Σαούλ	हे
Ἰησοῦς	यीशु
Σαῦλος	शाऊल
Δαμασκόν	दमिश्क
Δαμασκῷ	दमिश्क
Ἁνανίας	हनन्याह
Ἁνανία	हनन्याह
Ἁνανία	हे
Ἰούδα	यहूदा
Ἰούδα	के
Σαῦλον	शाऊल
Ταρσέα	तरसुसवासी
Ἁνανίαν	हनन्याह
Ἁνανίας	हनन्याह
Ἁνανίας	ने
Ἰερουσαλήμ	यरूशलेम
Ἰσραήλ	इस्राएल
Ἰσραήλ	की
Ἁνανίας	हनन्याह
Ἁνανίας	ने
Σαοὺλ	शाऊल
Ἰησοῦς	यीशु
Ἰησοῦς	ने
Δαμασκῷ	दमिश्क
Ἰησοῦν	यीशु
Ἰερουσαλὴμ	यरूशलेम
Σαῦλος	शाऊल
Δαμασκῷ	दमिश्क
χριστός	मसीह
Σαύλῳ	शाऊल
Σαύλῳ	को
Ἰερουσαλὴμ	यरूशलेम
Βαρναβᾶς	बरनाबास
Δαμασκῷ	दमिश्क
Ἰησοῦ	यीशु
Ἰησοῦ	के
Ἰερουσαλήμ	यरूशलेम
Ἑλληνιστάς	यूनानी
Ἑλληνιστάς	भाषी
Ἑλληνιστάς	यहूदियों
Καισάρειαν	कैसरिया
Ταρσόν	तरसुस
Ἰουδαίας	यहूदिया
Γαλιλαίας	गलील
Σαμαρείας	सामरिया
Σαμαρείας	की
Πέτρον	पतरस
Λύδδα	लुद्दा
Αἰνέαν	एनियास
Πέτρος	पतरस
Πέτρος	ने
Αἰνέα	एनियास
Ἰησοῦς	यीशु
Χριστός	मसीह
Λύδδα	लुद्दा
Σαρῶνα	शारोन
Ἰόππῃ	याफा
Ταβιθά	तबीता
Δορκάς	दोरकास
Λύδδας	लुद्दा
Ἰόππῃ	याफा
Ἰόππῃ	के
Πέτρος	पतरस
Πέτρος	पतरस
Δορκάς	दोरकास
Δορκάς	ने
Πέτρος	पतरस
Πέτρος	ने
Ταβιθά	तबीता
Πέτρον	पतरस
Πέτρον	को
Ἰόππης	याफा
Ἰόππῃ	याफा
Σίμωνι	शमौन
Σίμωνι	के
Καισαρείᾳ	कैसरिया
Κορνήλιος	कुरनेलियुस
Κορνήλιε	कुरनेलियुस
Κορνήλιε	हे
Ἰόππην	याफा
Σίμωνά	शमौन
Σίμωνά	को
Πέτρος	पतरस
Σίμωνι	शमौन
Σίμωνι	के
Ἰόππην	याफा
Πέτρος	पतरस
Πέτρε	पतरस
Πέτρε	हे
Πέτρος	पतरस
Πέτρος	ने
Πέτρος	पतरस
Κορνηλίου	कुरनेलियुस
Σίμωνος	शमौन
Σίμωνος	के
Σίμων	शमौन
Πέτρος	पतरस
Πέτρου	पतरस
Πέτρος	पतरस
Πέτρος	ने
Κορνήλιος	कुरनेलियुस
Ἰόππης	याफा
Καισάρειαν	कैसरिया
Κορνήλιος	कुरनेलियुस
Πέτρον	पतरस
Κορνήλιος	कुरनेलियुस
Πέτρος	पतरस
Πέτρος	ने
Κορνήλιος	कुरनेलियुस
Κορνήλιε	कुरनेलियुस
Κορνήλιε	हे
Ἰόππην	याफा
Σίμωνα	शमौन
Σίμωνα	को
Πέτρος	पतरस
Σίμωνος	शमौन
Σίμωνος	के
Πέτρος	पतरस
Πέτρος	ने
Ἰσραὴλ	इस्राएल
Ἰσραὴλ	की
Ἰησοῦ	यीशु
Χριστοῦ	मसीह
Ἰουδαίας	यहूदिया
Γαλιλαίας	गलील
Ἰωάννης	यूहन्‍ना
Ἰησοῦν	यीशु
Ναζαρέθ	नासरी
Ἰερουσαλήμ	यरूशलेम
Πέτρου	पतरस
Πέτρῳ	पतरस
Πέτρῳ	के
Πέτρος	पतरस
Πέτρος	ने
Ἰησοῦ	यीशु
Χριστοῦ	मसीह
Χριστοῦ	के
Ἰουδαίαν	यहूदिया
Πέτρος	पतरस
Ἰερουσαλήμ	यरूशलेम
Πέτρος	पतरस
Πέτρος	ने
Ἰόππῃ	याफा
Πέτρε	पतरस
Πέτρε	हे
Καισαρείας	कैसरिया
Ἰόππην	याफा
Σίμωνα	शमौन
Σίμωνα	को
Πέτρον	पतरस
Ἰωάννης	यूहन्‍ना
Ἰωάννης	ने
Ἰησοῦν	यीशु
Χριστόν	मसीह
Φοινίκης	फीनीके
Κύπρου	साइप्रस
Ἀντιοχείας	अंताकिया
Κυρηναῖοι	कुरेनी
Ἀντιόχειαν	अंताकिया
Ἑλληνιστὰς	यूनानियों
Ἰησοῦν	यीशु
Ἰερουσαλὴμ	यरूशलेम
Βαρναβᾶν	बरनाबास
Βαρναβᾶν	को
Ἀντιοχείας	अंताकिया
Ταρσὸν	तरसुस
Ταρσὸν	को
Σαῦλον	शाऊल
Σαῦλον	को
Ἀντιόχειαν	अंताकिया
Ἀντιοχείᾳ	अंताकिया
Χριστιανούς	मसीही
Ἱεροσολύμων	यरूशलेम
Ἀντιόχειαν	अंताकिया
Ἅγαβος	अगबुस
Κλαυδίου	क्लौदियुस
Κλαυδίου	के
Ἰουδαίᾳ	यहूदिया
Βαρναβᾶ	बरनाबास
Σαύλου	शाऊल
Σαύλου	के
Ἡρῴδης	हेरोदेस
Ἰάκωβον	याकूब
Ἰάκωβον	को
Ἰωάννου	यूहन्‍ना
Ἰωάννου	के
Πέτρον	पतरस
Πέτρον	को
Πέτρος	पतरस
Ἡρῴδης	हेरोदेस
Πέτρος	पतरस
Πέτρου	पतरस
Πέτρου	के
Πέτρος	पतरस
Ἡρῴδου	हेरोदेस
Ἡρῴδου	के
Μαρίας	मरियम
Μαρίας	के
Ἰωάννου	यूहन्‍ना
Ἰωάννου	की
Μάρκου	मरकुस
Ῥόδη	रूदे
Πέτρου	पतरस
Πέτρου	की
Πέτρον	पतरस
Πέτρος	पतरस
Ἰακώβῳ	याकूब
Πέτρος	पतरस
Ἡρῴδης	हेरोदेस
Ἡρῴδης	ने
Ἰουδαίας	यहूदिया
Καισάρειαν	कैसरिया
Τυρίοις	सूर
Βλάστον	बलास्तुस
Βλάστον	को
Ἡρῴδης	हेरोदेस
Βαρναβᾶς	बरनाबास
Σαῦλος	शाऊल
Ἰερουσαλὴμ	यरूशलेम
Ἰωάννην	यूहन्‍ना
Ἰωάννην	को
Μᾶρκον	मरकुस
Ἀντιοχείᾳ	अंताकिया
Βαρναβᾶς	बरनाबास
Συμεὼν	शिमोन
Νίγερ	नीगर
Λούκιος	लुकियुस
Κυρηναῖος	कुरेनी
Μαναήν	मनाहेम
Ἡρῴδου	हेरोदेस
Ἡρῴδου	के
Σαῦλος	शाऊल
Βαρναβᾶν	बरनाबास
Σαῦλον	शाऊल
Σαῦλον	को
Σελεύκειαν	सिलूकिया
Κύπρον	साइप्रस
Σαλαμῖνι	सलमीस
Ἰωάννην	यूहन्‍ना
Πάφου	पाफुस
Βαριησοῦ	बार
Βαριησοῦ	-
Βαριησοῦ	यीशु
Σεργίῳ	सिरगियुस
Παύλῳ	पौलुस
Παύλῳ	के
Βαρναβᾶν	बरनाबास
Σαῦλον	शाऊल
Σαῦλον	को
Ἐλύμας	इलीमास
Σαῦλος	शाऊल
Σαῦλος	ने
Παῦλος	पौलुस
Πάφου	पाफुस
Παῦλον	पौलुस
Πέργην	पिरगा
Παμφυλίας	पंफूलिया
Παμφυλίας	के
Ἰωάννης	यूहन्‍ना
Ἱεροσόλυμα	यरूशलेम
Πέργης	पिरगा
Ἀντιόχειαν	अंताकिया
Παῦλος	पौलुस
Ἰσραηλῖται	इस्राएलियो
Ἰσραηλῖται	हे
Ἰσραὴλ	इस्राएली
Αἰγύπτου	मिस्र
Χανάαν	कनान
Σαμουὴλ	शमूएल
Σαοὺλ	शाऊल
Σαοὺλ	को
Κίς	कीश
Κίς	के
Βενιαμίν	बिन्यामीन
Βενιαμίν	के
Δαυὶδ	दाऊद
Δαυὶδ	को
Δαυὶδ	दाऊद
Ἰεσσαί	यिशै
Ἰεσσαί	का
Ἰσραὴλ	इस्राएल
Ἰσραὴλ	के
Ἰσραὴλ	लिए
Ἰησοῦν	यीशु
Ἰησοῦν	को
Ἰωάννου	यूहन्‍ना
Ἰσραήλ	इस्राएल
Ἰσραήλ	के
Ἰωάννης	यूहन्‍ना
Ἀβραὰμ	अब्राहम
Ἀβραὰμ	के
Ἰερουσαλὴμ	यरूशलेम
Πιλᾶτον	पिलातुस
Γαλιλαίας	गलील
Ἰερουσαλήμ	यरूशलेम
Ἰησοῦν	यीशु
Ἰησοῦν	को
Δαυὶδ	दाऊद
Δαυὶδ	की
Δαυὶδ	दाऊद
Μωϋσέως	मूसा
Μωϋσέως	की
Παύλῳ	पौलुस
Βαρναβᾷ	बरनाबास
Βαρναβᾷ	के
Παύλου	पौलुस
Παῦλος	पौलुस
Βαρναβᾶς	बरनाबास
Βαρναβᾶς	ने
Παῦλον	पौलुस
Βαρναβᾶν	बरनाबास
Ἰκόνιον	इकुनियुम
Ἰκονίῳ	इकुनियुम
Ἑλλήνων	यूनानियों
Ἑλλήνων	में
Ἑλλήνων	से
Λυκαονίας	लुकाउनिया
Λυκαονίας	के
Λύστραν	लुस्‍त्रा
Δέρβην	दिरबे
Λύστροις	लुस्‍त्रा
Παύλου	पौलुस
Παῦλος	पौलुस
Βαρναβᾶν	बरनाबास
Βαρναβᾶν	को
Δία	ज़्यूस
Παῦλον	पौलुस
Παῦλον	को
Ἑρμῆν	हिरमेस
Διὸς	ज़्यूस
Διὸς	के
Βαρναβᾶς	बरनाबास
Παῦλος	पौलुस
Παῦλος	ने
Ἀντιοχείας	अंताकिया
Ἰκονίου	इकुनियुम
Παῦλον	पौलुस
Βαρναβᾷ	बरनाबास
Βαρναβᾷ	के
Δέρβην	दिरबे
Λύστραν	लुस्‍त्रा
Ἰκόνιον	इकुनियुम
Ἀντιόχειαν	अंताकिया
Πισιδίαν	पिसिदिया
Παμφυλίαν	पंफूलिया
Πέργῃ	पिरगा
Ἀττάλειαν	अत्तलिया
Ἀντιόχειαν	अंताकिया
Ἰουδαίας	यहूदिया
Μωϋσέως	मूसा
Μωϋσέως	की
Παύλῳ	पौलुस
Βαρναβᾷ	बरनाबास
Παῦλον	पौलुस
Βαρναβᾶν	बरनाबास
Ἰερουσαλὴμ	यरूशलेम
Φοινίκην	फीनीके
Σαμάρειαν	सामरिया
Ἰερουσαλὴμ	यरूशलेम
Φαρισαίων	फरीसी
Μωϋσέως	मूसा
Μωϋσέως	की
Πέτρος	पतरस
Πέτρος	ने
Ἰησοῦ	यीशु
Ἰησοῦ	के
Βαρναβᾶ	बरनाबास
Παύλου	पौलुस
Παύλου	से
Ἰάκωβος	याकूब
Ἰάκωβος	ने
Συμεὼν	शमौन
Συμεὼν	ने
Δαυὶδ	दाऊद
Δαυὶδ	का
Μωϋσῆς	मूसा
Ἀντιόχειαν	अंताकिया
Παύλῳ	पौलुस
Βαρναβᾷ	बरनाबास
Ἰούδαν	यहूदा
Βαρσαββᾶν	बरसब्बा
Σιλᾶν	सीलास
Σιλᾶν	को
Ἀντιόχειαν	अंताकिया
Συρίαν	सीरिया
Κιλικίαν	किलिकिया
Βαρναβᾷ	बरनाबास
Παύλῳ	पौलुस
Παύλῳ	के
Ἰησοῦ	यीशु
Χριστοῦ	मसीह
Χριστοῦ	के
Ἰούδαν	यहूदा
Σιλᾶν	सीलास
Σιλᾶν	को
Ἀντιόχειαν	अंताकिया
Ἰούδας	यहूदा
Σιλᾶς	सीलास
Σιλᾶς	ने
Παῦλος	पौलुस
Βαρναβᾶς	बरनाबास
Ἀντιοχείᾳ	अंताकिया
Βαρναβᾶν	बरनाबास
Παῦλος	पौलुस
Παῦλος	ने
Βαρναβᾶς	बरनाबास
Ἰωάννην	यूहन्‍ना
Ἰωάννην	को
Μᾶρκον	मरकुस
Παῦλος	पौलुस
Παῦλος	ने
Παμφυλίας	पंफूलिया
Βαρναβᾶν	बरनाबास
Μᾶρκον	मरकुस
Μᾶρκον	को
Κύπρον	साइप्रस
Παῦλος	पौलुस
Παῦλος	ने
Σιλᾶν	सीलास
Σιλᾶν	को
Συρίαν	सीरिया
Κιλικίαν	किलिकिया
Δέρβην	दिरबे
Λύστραν	लुस्‍त्रा
Τιμόθεος	तीमुथियुस
Ἕλληνος	यूनानी
Λύστροις	लुस्‍त्रा
Ἰκονίῳ	इकुनियुम
Ἰκονίῳ	के
Παῦλος	पौलुस
Ἕλλην	यूनानी
Ἱεροσολύμοις	यरूशलेम
Φρυγίαν	फ्रूगिया
Ἀσίᾳ	आसिया
Μυσίαν	मूसिया
Βιθυνίαν	बिथूनिया
Ἰησοῦ	यीशु
Ἰησοῦ	के
Μυσίαν	मूसिया
Τρῳάδα	त्रोआस
Παύλῳ	पौलुस
Παύλῳ	को
Μακεδών	मकिदुनियावासी
Μακεδονίαν	मकिदुनिया
Μακεδονίαν	मकिदुनिया
Τρῳάδος	त्रोआस
Σαμοθρᾴκην	सुमात्राके
Φιλίππους	फिलिप्पी
Μακεδονίας	मकिदुनिया
Λυδία	लुदिया
Θυατείρων	थुआतीरा
Παύλου	पौलुस
Παύλου	की
Παύλῳ	पौलुस
Παῦλος	पौलुस
Ἰησοῦ	यीशु
Χριστοῦ	मसीह
Χριστοῦ	के
Παῦλον	पौलुस
Σιλᾶν	सीलास
Σιλᾶν	को
Παῦλος	पौलुस
Σιλᾶς	सीलास
Παῦλος	पौलुस
Παῦλος	ने
Παύλῳ	पौलुस
Σιλᾷ	सीलास
Σιλᾷ	के
Σιλᾷ	सामने
Ἰησοῦν	यीशु
Παῦλον	पौलुस
Παῦλος	पौलुस
Παῦλος	ने
Λυδίαν	लुदिया
Ἀμφίπολιν	अम्फिपुलिस
