NA27	LEB
Σολομῶνος	Solomon
Σολομῶνος	than
Ἰησοῦς	Jesus
Ἠσαΐου	Isaiah
Ἠσαΐου	of
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Μαριὰμ	Mary
Ἰάκωβος	James
Ἰωσὴφ	Joseph
Σίμων	Simon
Ἰούδας	Judas
Ἰησοῦς	Jesus
Ἡρῴδης	Herod
Ἰησοῦ	Jesus
Ἰησοῦ	about
Ἰωάννης	John
Ἡρῴδης	Herod
Ἰωάννην	John
Ἡρῳδιάδα	Herodias
Φιλίππου	Philip
Φιλίππου	of
Ἰωάννης	John
Ἡρῴδου	Herod’s
Ἡρῳδιάδος	Herodias
Ἡρῳδιάδος	of
Ἡρῴδῃ	Herod
Ἰωάννου	John
Ἰωάννου	of
Ἰωάννην	John
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Πέτρος	Peter
Πέτρος	Peter
Ἰησοῦν	Jesus
Ἰησοῦς	Jesus
Γεννησαρέτ	Gennesaret
Ἰησοῦ	Jesus
Ἰησοῦ	to
Ἱεροσολύμων	Jerusalem
Φαρισαῖοι	Pharisees
Ἠσαΐας	Isaiah
Φαρισαῖοι	Pharisees
Πέτρος	Peter
Ἰησοῦς	Jesus
Τύρου	Tyre
Τύρου	of
Σιδῶνος	Sidon
Δαυίδ	David
Δαυίδ	of
Ἰσραήλ	Israel
Ἰσραήλ	of
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Γαλιλαίας	Galilee
Γαλιλαίας	of
Ἰσραήλ	Israel
Ἰσραήλ	of
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Μαγαδάν	Magadan
Μαγαδάν	of
Φαρισαῖοι	Pharisees
Σαδδουκαῖοι	Sadducees
Ἰωνᾶ	Jonah
Ἰωνᾶ	of
Ἰησοῦς	Jesus
Φαρισαίων	Pharisees
Φαρισαίων	of
Σαδδουκαίων	Sadducees
Ἰησοῦς	Jesus
Φαρισαίων	Pharisees
Φαρισαίων	of
Σαδδουκαίων	Sadducees
Φαρισαίων	Pharisees
Φαρισαίων	of
Σαδδουκαίων	Sadducees
Ἰησοῦς	Jesus
Καισαρείας	Caesarea
Καισαρείας	of
Φιλίππου	Philippi
Ἰωάννην	John
Ἠλίαν	Elijah
Ἰερεμίαν	Jeremiah
Σίμων	Simon
Πέτρος	Peter
χριστὸς	Christ
Ἰησοῦς	Jesus
Σίμων	Simon
Βαριωνᾶ	son
Βαριωνᾶ	of
Βαριωνᾶ	Jonah
Πέτρος	Peter
χριστός	Christ
Ἰησοῦς	Jesus
Ἱεροσόλυμα	Jerusalem
Πέτρος	Peter
Πέτρῳ	Peter
Πέτρῳ	to
σατανᾶ	Satan
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Πέτρον	Peter
Ἰάκωβον	James
Ἰωάννην	John
Μωϋσῆς	Moses
Ἠλίας	Elijah
Πέτρος	Peter
Ἰησοῦ	Jesus
Ἰησοῦ	to
Μωϋσεῖ	Moses
Μωϋσεῖ	for
Ἠλίᾳ	Elijah
Ἠλίᾳ	for
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Ἰησοῦς	Jesus
Ἠλίαν	Elijah
Ἠλίας	Elijah
Ἠλίας	Elijah
Ἰωάννου	John
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦ	Jesus
Γαλιλαίᾳ	Galilee
Ἰησοῦς	Jesus
Καφαρναοὺμ	Capernaum
Πέτρῳ	Peter
Πέτρῳ	to
Ἰησοῦς	Jesus
Σίμων	Simon
Ἰησοῦς	Jesus
Ἰησοῦ	Jesus
Ἰησοῦ	to
Πέτρος	Peter
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Γαλιλαίας	Galilee
Ἰουδαίας	Judea
Ἰουδαίας	of
Ἰορδάνου	Jordan
Ἰορδάνου	of
Φαρισαῖοι	Pharisees
Μωϋσῆς	Moses
Μωϋσῆς	Moses
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Πέτρος	Peter
Ἰησοῦς	Jesus
Ἰσραήλ	Israel
Ἰσραήλ	of
Ἰησοῦς	Jesus
Ἱεροσόλυμα	Jerusalem
Ἱεροσόλυμα	Jerusalem
Ζεβεδαίου	Zebedee
Ζεβεδαίου	of
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰεριχὼ	Jericho
Ἰεριχὼ	of
Ἰησοῦς	Jesus
Δαυίδ	David
Δαυίδ	of
Δαυίδ	David
Δαυίδ	of
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἱεροσόλυμα	Jerusalem
Βηθφαγὴ	Bethphage
Ἰησοῦς	Jesus
Σιών	Zion
Σιών	of
Ἰησοῦς	Jesus
Δαυίδ	David
Δαυίδ	of
Ἱεροσόλυμα	Jerusalem
Ἰησοῦς	Jesus
Ναζαρὲθ	Nazareth
Γαλιλαίας	Galilee
Γαλιλαίας	of
Ἰησοῦς	Jesus
Δαυίδ	David
Δαυίδ	of
Ἰησοῦς	Jesus
Βηθανίαν	Bethany
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰωάννου	John
Ἰωάννου	of
Ἰωάννην	John
Ἰησοῦ	Jesus
Ἰησοῦ	to
Ἰησοῦς	Jesus
Ἰωάννης	John
Ἰησοῦς	Jesus
Φαρισαῖοι	Pharisees
Ἰησοῦς	Jesus
Φαρισαῖοι	Pharisees
Ἡρῳδιανῶν	Herodians
Καίσαρι	Caesar
Καίσαρι	to
Ἰησοῦς	Jesus
Καίσαρος	Caesar’s
Καίσαρος	Caesar
Καίσαρος	of
Καίσαρι	Caesar
Καίσαρι	to
Σαδδουκαῖοι	Sadducees
Μωϋσῆς	Moses
