NA27	NET
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰωσήφ	Joseph
Ἰωσήφ	of
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Καφαρναούμ	Capernaum
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Σίμων	Simon
Πέτρος	Peter
Ἰησοῦς	Jesus
Σίμωνος	Simon
Σίμωνος	of
Ἰσκαριώτου	Iscariot
Ἰησοῦς	Jesus
Γαλιλαίᾳ	Galilee
Ἰουδαίᾳ	Judea
Ἰουδαίαν	Judea
Ἰησοῦς	Jesus
Γαλιλαίᾳ	Galilee
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Μωϋσῆς	Moses
Ἰησοῦς	Jesus
Μωϋσῆς	Moses
Μωϋσέως	Moses
Μωϋσέως	of
Ἱεροσολυμιτῶν	Jerusalem
Ἱεροσολυμιτῶν	of
χριστός	Christ
χριστὸς	Christ
Ἰησοῦς	Jesus
χριστὸς	Christ
Φαρισαῖοι	Pharisees
Φαρισαῖοι	Pharisees
Ἰησοῦς	Jesus
Ἑλλήνων	Greeks
Ἑλλήνων	among
Ἕλληνας	Greeks
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
χριστός	Christ
Γαλιλαίας	Galilee
Δαυὶδ	David
Δαυὶδ	of
Βηθλέεμ	Bethlehem
Δαυὶδ	David
χριστός	Christ
Φαρισαίους	Pharisees
Φαρισαῖοι	Pharisees
Φαρισαίων	Pharisees
Νικόδημος	Nicodemus
Γαλιλαίας	Galilee
Ἰησοῦς	Jesus
Φαρισαῖοι	Pharisees
Μωϋσῆς	Moses
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Φαρισαῖοι	Pharisees
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἀβραάμ	Abraham
Ἀβραάμ	of
Ἰησοῦς	Jesus
Ἀβραάμ	Abraham
Ἰησοῦς	Jesus
Ἀβραάμ	Abraham’s
Ἀβραὰμ	Abraham
Ἰησοῦς	Jesus
Σαμαρίτης	Samaritan
Σαμαρίτης	a
Ἰησοῦς	Jesus
Ἀβραὰμ	Abraham
Ἀβραάμ	Abraham
Ἰησοῦς	Jesus
Ἀβραὰμ	Abraham
Ἀβραὰμ	Abraham
Ἰησοῦς	Jesus
Ἀβραὰμ	Abraham
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Σιλωάμ	Siloam
Σιλωάμ	of
Ἰησοῦς	Jesus
Σιλωὰμ	Siloam
Φαρισαίους	Pharisees
Ἰησοῦς	Jesus
Φαρισαῖοι	Pharisees
Φαρισαίων	Pharisees
χριστόν	Christ
Μωϋσέως	Moses
Μωϋσέως	of
Μωϋσεῖ	Moses
Μωϋσεῖ	to
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Φαρισαίων	Pharisees
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἱεροσολύμοις	Jerusalem
Ἰησοῦς	Jesus
Σολομῶνος	Solomon’s
χριστός	Christ
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰορδάνου	Jordan
Ἰωάννης	John
Ἰωάννης	John
Λάζαρος	Lazarus
Βηθανίας	Bethany
Μάρθας	Martha
Μαριὰμ	Mary
Λάζαρος	Lazarus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Μάρθαν	Martha
Λάζαρον	Lazarus
Ἰουδαίαν	Judea
Ἰησοῦς	Jesus
Λάζαρος	Lazarus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Λάζαρος	Lazarus
Θωμᾶς	Thomas
Ἰησοῦς	Jesus
Βηθανία	Bethany
Ἱεροσολύμων	Jerusalem
Μάρθαν	Martha
Μαριὰμ	Mary
Μάρθα	Martha
Ἰησοῦς	Jesus
Μαριὰμ	Mary
Μάρθα	Martha
Ἰησοῦν	Jesus
Ἰησοῦς	Jesus
Μάρθα	Martha
Ἰησοῦς	Jesus
χριστὸς	Christ
Μαριὰμ	Mary
Ἰησοῦς	Jesus
Μάρθα	Martha
Μαριὰμ	Mary
Μαριὰμ	Mary
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Μάρθα	Martha
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Λάζαρε	Lazarus
Ἰησοῦς	Jesus
Μαριὰμ	Mary
Φαρισαίους	Pharisees
Ἰησοῦς	Jesus
Φαρισαῖοι	Pharisees
Καϊάφας	Caiaphas
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἐφραὶμ	Ephraim
Ἱεροσόλυμα	Jerusalem
Ἰησοῦν	Jesus
Φαρισαῖοι	Pharisees
Ἰησοῦς	Jesus
Βηθανίαν	Bethany
Λάζαρος	Lazarus
Μάρθα	Martha
Λάζαρος	Lazarus
Μαριὰμ	Mary
Ἰησοῦ	Jesus
Ἰησοῦ	of
Ἰούδας	Judas
Ἰσκαριώτης	Iscariot
Ἰησοῦς	Jesus
Ἰησοῦν	him
Λάζαρον	Lazarus
Λάζαρον	Lazarus
Ἰησοῦν	Jesus
Ἰησοῦς	Jesus
Ἱεροσόλυμα	Jerusalem
Ἰσραήλ	Israel
Ἰσραήλ	of
Ἰησοῦς	Jesus
Σιών	Zion
Σιών	of
Ἰησοῦς	Jesus
Λάζαρον	Lazarus
Φαρισαῖοι	Pharisees
Ἕλληνές	Greeks
Βηθσαϊδὰ	Bethsaida
Γαλιλαίας	Galilee
Γαλιλαίας	in
Ἰησοῦν	Jesus
Φίλιππος	Philip
Ἀνδρέᾳ	Andrew
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
χριστὸς	Christ
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἠσαΐου	Isaiah
Ἠσαΐας	Isaiah
Ἠσαΐας	Isaiah
Φαρισαίους	Pharisees
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰούδας	Judas
Σίμωνος	Simon’s
Ἰσκαριώτου	Iscariot
Ἰσκαριώτου	of
Σίμωνα	Simon
Πέτρον	Peter
Ἰησοῦς	Jesus
Πέτρος	Peter
Ἰησοῦς	Jesus
Σίμων	Simon
Πέτρος	Peter
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Σίμων	Simon
Πέτρος	Peter
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
Ἰούδᾳ	Judas
Ἰούδᾳ	to
Ἰσκαριώτου	Iscariot
σατανᾶς	Satan
Ἰησοῦς	Jesus
Ἰούδας	Judas
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Σίμων	Simon
Πέτρος	Peter
Ἰησοῦς	Jesus
Πέτρος	Peter
Ἰησοῦς	Jesus
Θωμᾶς	Thomas
Ἰησοῦς	Jesus
Φίλιππος	Philip
Ἰησοῦς	Jesus
Φίλιππε	Philip
Ἰσκαριώτης	Iscariot
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Χριστόν	Christ
Ἰησοῦς	Jesus
Κεδρὼν	Kidron
Ἰούδας	Judas
Ἰησοῦς	Jesus
Ἰούδας	Judas
Φαρισαίων	Pharisees
Ἰησοῦς	Jesus
Ἰησοῦν	Jesus
Ναζωραῖον	Nazarene
Ἰούδας	Judas
Ἰησοῦν	Jesus
Ναζωραῖον	Nazarene
Ἰησοῦς	Jesus
Σίμων	Simon
Πέτρος	Peter
Μάλχος	Malchus
Ἰησοῦς	Jesus
Πέτρῳ	Peter
Πέτρῳ	to
Ἰησοῦν	Jesus
Ἅνναν	Annas
Καϊάφα	Caiaphas
Καϊάφα	of
Καϊάφας	Caiaphas
Σίμων	Simon
Πέτρος	Peter
Ἰησοῦ	Jesus
Πέτρῳ	Peter
Πέτρῳ	to
Πέτρος	Peter
Ἰησοῦν	Jesus
Ἰησοῦς	Jesus
Ἰησοῦ	Jesus
Ἰησοῦς	Jesus
Ἅννας	Annas
Καϊάφαν	Caiaphas
Σίμων	Simon
Πέτρος	Peter
Πέτρος	Peter
Πέτρος	Peter
Ἰησοῦν	Jesus
Καϊάφα	Caiaphas
Πιλᾶτος	Pilate
Πιλᾶτος	Pilate
Πιλᾶτος	Pilate
Ἰησοῦν	Jesus
Ἰησοῦς	Jesus
Πιλᾶτος	Pilate
Ἰησοῦς	Jesus
Πιλᾶτος	Pilate
Ἰησοῦς	Jesus
Πιλᾶτος	Pilate
Βαραββᾶν	Barabbas
Βαραββᾶς	Barabbas
Πιλᾶτος	Pilate
Ἰησοῦν	Jesus
Πιλᾶτος	Pilate
Ἰησοῦς	Jesus
Πιλᾶτος	Pilate
Πιλᾶτος	Pilate
Ἰησοῦ	Jesus
Ἰησοῦ	to
Ἰησοῦς	Jesus
Πιλᾶτος	Pilate
Ἰησοῦς	Jesus
Πιλᾶτος	Pilate
Καίσαρι	Caesar
Πιλᾶτος	Pilate
Ἰησοῦν	Jesus
Γαββαθα	Gabbatha
Πιλᾶτος	Pilate
Καίσαρα	Caesar
Ἰησοῦν	Jesus
Γολγοθα	Golgotha
Ἰησοῦν	Jesus
Πιλᾶτος	Pilate
Ἰησοῦς	Jesus
Ναζωραῖος	Nazarene
Ἰησοῦς	Jesus
Πιλάτῳ	Pilate
Πιλάτῳ	to
Πιλᾶτος	Pilate
Ἰησοῦν	Jesus
Κλωπᾶ	Clopas
Κλωπᾶ	of
Μαρία	Mary
Μαγδαληνή	Magdalene
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Πιλᾶτον	Pilate
Ἰησοῦν	Jesus
Πιλᾶτον	Pilate
Ἰωσὴφ	Joseph
Ἁριμαθαίας	Arimathea
Ἰησοῦ	Jesus
Ἰησοῦ	of
Ἰησοῦ	Jesus
Ἰησοῦ	of
Νικόδημος	Nicodemus
Ἰησοῦ	Jesus’
Μαρία	Mary
Μαγδαληνὴ	Magdalene
Σίμωνα	Simon
Πέτρον	Peter
Ἰησοῦς	Jesus
Πέτρος	Peter
Πέτρου	Peter
Σίμων	Simon
Πέτρος	Peter
Μαρία	Mary
Ἰησοῦ	Jesus’
Ἰησοῦν	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Μαριάμ	Mary
Ἰησοῦς	Jesus
Μαριὰμ	Mary
Μαγδαληνὴ	Magdalene
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Θωμᾶς	Thomas
Ἰησοῦς	Jesus
Θωμᾶς	Thomas
Ἰησοῦς	Jesus
Θωμᾷ	Thomas
Θωμᾷ	to
Θωμᾶς	Thomas
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
χριστὸς	Christ
Ἰησοῦς	Jesus
Τιβεριάδος	Tiberias
Τιβεριάδος	of
Σίμων	Simon
Πέτρος	Peter
Θωμᾶς	Thomas
Ναθαναὴλ	Nathanael
Κανὰ	Cana
Γαλιλαίας	Galilee
Γαλιλαίας	in
Ζεβεδαίου	Zebedee
Ζεβεδαίου	of
Σίμων	Simon
Πέτρος	Peter
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Πέτρῳ	Peter
Πέτρῳ	to
Σίμων	Simon
Πέτρος	Peter
Ἰησοῦς	Jesus
Σίμων	Simon
Πέτρος	Peter
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Σίμωνι	Simon
Σίμωνι	to
Πέτρῳ	Peter
Ἰησοῦς	Jesus
Σίμων	Simon
Ἰωάννου	John
Ἰωάννου	of
Σίμων	Simon
Ἰωάννου	John
Ἰωάννου	of
Σίμων	Simon
Ἰωάννου	John
Ἰωάννου	of
Πέτρος	Peter
Πέτρος	Peter
Ἰησοῦς	Jesus
Πέτρος	Peter
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Ἰησοῦς	Jesus
Θεόφιλε	Theophilus
Ἰησοῦς	Jesus
Ἱεροσολύμων	Jerusalem
Ἰωάννης	John
Ἰσραήλ	Israel
Ἰσραήλ	to
Ἰερουσαλὴμ	Jerusalem
Ἰουδαίᾳ	Judea
Σαμαρείᾳ	Samaria
Ἰησοῦς	Jesus
Ἰερουσαλὴμ	Jerusalem
Ἰερουσαλὴμ	Jerusalem
Πέτρος	Peter
Ἰωάννης	John
Ἀνδρέας	Andrew
Φίλιππος	Philip
Θωμᾶς	Thomas
Βαρθολομαῖος	Bartholomew
Μαθθαῖος	Matthew
Ἁλφαίου	Alphaeus
Ἁλφαίου	of
Σίμων	Simon
Ἰούδας	Judas
Ἰακώβου	James
Ἰακώβου	of
Μαριὰμ	Mary
Ἰησοῦ	Jesus
Ἰησοῦ	of
Πέτρος	Peter
Ἰούδα	Judas
Ἰησοῦν	Jesus
Ἰερουσαλήμ	Jerusalem
Ἁκελδαμάχ	Hakeldama
Ἰησοῦς	Jesus
Ἰωσὴφ	Joseph
Βαρσαββᾶν	Barsabbas
Ἰοῦστος	Justus
Μαθθίαν	Matthias
Ἰούδας	Judas
Μαθθίαν	Matthias
Ἰερουσαλὴμ	Jerusalem
Πάρθοι	Parthians
Μῆδοι	Medes
Ἐλαμῖται	Elamites
Μεσοποταμίαν	Mesopotamia
Μεσοποταμίαν	of
Ἰουδαίαν	Judea
Καππαδοκίαν	Cappadocia
Πόντον	Pontus
Ἀσίαν	Asia
Φρυγίαν	Phrygia
Παμφυλίαν	Pamphylia
Αἴγυπτον	Egypt
Λιβύης	Libya
Λιβύης	of
Κυρήνην	Cyrene
Κρῆτες	Cretans
Ἄραβες	Arabs
Πέτρος	Peter
Ἰερουσαλὴμ	Jerusalem
Ἰερουσαλὴμ	in
Ἰωήλ	Joel
Ἰσραηλῖται	Israel
Ἰησοῦν	Jesus
Ναζωραῖον	Nazarene
Δαυὶδ	David
Δαυὶδ	David
Χριστοῦ	Christ
Χριστοῦ	of
Ἰησοῦν	Jesus
Δαυὶδ	David
Ἰσραὴλ	Israel
Ἰσραὴλ	of
χριστὸν	Christ
Ἰησοῦν	Jesus
Πέτρον	Peter
Πέτρος	Peter
Ἰησοῦ	Jesus
Ἰησοῦ	of
Χριστοῦ	Christ
Πέτρος	Peter
Ἰωάννης	John
Πέτρον	Peter
Ἰωάννην	John
Πέτρος	Peter
Ἰωάννῃ	John
Πέτρος	Peter
Ἰησοῦ	Jesus
Ἰησοῦ	of
Χριστοῦ	Christ
Ναζωραίου	Nazarene
Πέτρον	Peter
Πέτρον	to
Ἰωάννην	John
Σολομῶντος	Solomon’s
Πέτρος	Peter
Ἰσραηλῖται	Israel
Ἀβραὰμ	Abraham
Ἀβραὰμ	of
Ἰσαὰκ	Isaac
Ἰακώβ	Jacob
Ἰησοῦν	Jesus
Πιλάτου	Pilate
Πιλάτου	of
χριστὸν	Christ
χριστὸν	Messiah
Ἰησοῦν	Jesus
Μωϋσῆς	Moses
Σαμουὴλ	Samuel
Ἀβραάμ	Abraham
Σαδδουκαῖοι	Sadducees
Ἰησοῦ	Jesus
Ἰερουσαλήμ	Jerusalem
Ἅννας	Annas
Καϊάφας	Caiaphas
Ἰωάννης	John
Ἀλέξανδρος	Alexander
Πέτρος	Peter
Ἰσραὴλ	Israel
Ἰσραὴλ	of
Ἰησοῦ	Jesus
Ἰησοῦ	of
Χριστοῦ	Christ
Ναζωραίου	Nazarene
Πέτρου	Peter
Πέτρου	of
Ἰωάννου	John
Ἰησοῦ	Jesus
Ἰερουσαλὴμ	Jerusalem
Ἰερουσαλὴμ	in
Ἰησοῦ	Jesus
Ἰησοῦ	of
Πέτρος	Peter
Ἰωάννης	John
Δαυὶδ	David
Ἰησοῦν	Jesus
Ἡρῴδης	Herod
Πόντιος	Pontius
Πιλᾶτος	Pilate
Ἰσραήλ	Israel
Ἰσραήλ	of
Ἰησοῦ	Jesus
Ἰησοῦ	Jesus
Ἰωσὴφ	Joseph
Βαρναβᾶς	Barnabas
Λευίτης	Levite
Λευίτης	a
Κύπριος	Cyprus
Κύπριος	of
Ἁνανίας	Ananias
Σαπφίρῃ	Sapphira
Πέτρος	Peter
Ἁνανία	Ananias
σατανᾶς	Satan
Ἁνανίας	Ananias
Πέτρος	Peter
Πέτρος	Peter
Σολομῶντος	Solomon’s
Πέτρου	Peter
Ἰερουσαλὴμ	Jerusalem
Σαδδουκαίων	Sadducees
Σαδδουκαίων	of
Ἰερουσαλὴμ	Jerusalem
Πέτρος	Peter
Ἰησοῦν	Jesus
Ἰσραὴλ	Israel
Ἰσραὴλ	to
Φαρισαῖος	Pharisee
Γαμαλιήλ	Gamaliel
Ἰσραηλῖται	Israel
Ἰσραηλῖται	of
Θευδᾶς	Theudas
Ἰούδας	Judas
Ἰησοῦ	Jesus
Ἰησοῦ	of
χριστὸν	Christ
Ἰησοῦν	Jesus
Φίλιππον	Philip
Πρόχορον	Prochorus
Νικάνορα	Nicanor
Τίμωνα	Timon
Παρμενᾶν	Parmenas
Ἀντιοχέα	Antioch
Ἀντιοχέα	from
Ἰερουσαλὴμ	Jerusalem
Λιβερτίνων	Freedmen
Λιβερτίνων	of
Κυρηναίων	Cyrenians
Ἀλεξανδρέων	Alexandrians
Κιλικίας	Cilicia
Ἀσίας	Asia
Μωϋσῆν	Moses
Ἰησοῦς	Jesus
Ναζωραῖος	Nazarene
Μωϋσῆς	Moses
Ἀβραὰμ	Abraham
Μεσοποταμίᾳ	Mesopotamia
Χαρρὰν	Haran
Χαλδαίων	Chaldeans
Χαλδαίων	of
Χαρράν	Haran
Ἰσαὰκ	Isaac
Ἰωσὴφ	Joseph
Αἴγυπτον	Egypt
Φαραὼ	Pharaoh
Αἰγύπτου	Egypt
Αἰγύπτου	of
Αἴγυπτον	Egypt
Αἴγυπτον	Egypt
Χανάαν	Canaan
Ἰακὼβ	Jacob
Αἴγυπτον	Egypt
Ἰωσὴφ	Joseph
Φαραὼ	Pharaoh
Φαραὼ	to
Ἰωσήφ	Joseph’s
Ἰωσὴφ	Joseph
Ἰακὼβ	Jacob
Ἰακὼβ	Jacob
Αἴγυπτον	Egypt
Συχὲμ	Shechem
Ἀβραὰμ	Abraham
Ἐμμὼρ	Hamor
Ἐμμὼρ	of
Συχέμ	Shechem
Ἀβραάμ	Abraham
Ἀβραάμ	to
Αἰγύπτῳ	Egypt
Αἴγυπτον	Egypt
Ἰωσήφ	Joseph
Μωϋσῆς	Moses
Φαραὼ	Pharaoh’s
Μωϋσῆς	Moses
Μωϋσῆς	Moses
Μαδιάμ	Midian
Μαδιάμ	of
Σινᾶ	Sinai
Μωϋσῆς	Moses
Ἀβραὰμ	Abraham
Ἀβραὰμ	of
Μωϋσῆς	Moses
Αἰγύπτῳ	Egypt
Αἴγυπτον	Egypt
Μωϋσῆν	Moses
Αἰγύπτῳ	Egypt
Μωϋσῆς	Moses
Σινᾶ	Sinai
Αἴγυπτον	Egypt
Ἀαρών	Aaron
Ἀαρών	to
Μωϋσῆς	Moses
Αἰγύπτου	Egypt
Αἰγύπτου	of
Ἰσραήλ	Israel
Ἰσραήλ	of
Μόλοχ	Moloch
Μόλοχ	of
Ῥαιφάν	Rephan
Βαβυλῶνος	Babylon
Μωϋσῇ	Moses
Μωϋσῇ	to
Ἰησοῦ	Joshua
Δαυίδ	David
Δαυίδ	of
Ἰακώβ	Jacob
Ἰακώβ	of
Σολομὼν	Solomon
Ἰησοῦν	Jesus
Σαύλου	Saul
Ἰησοῦ	Jesus
Σαῦλος	Saul
Ἱεροσολύμοις	Jerusalem
Ἰουδαίας	Judea
Ἰουδαίας	of
Σαμαρείας	Samaria
Σαῦλος	Saul
Φίλιππος	Philip
Σαμαρείας	Samaria
Σαμαρείας	of
Χριστόν	Christ
Φιλίππου	Philip
Σίμων	Simon
Σαμαρείας	Samaria
Σαμαρείας	of
Φιλίππῳ	Philip
Ἰησοῦ	Jesus
Ἰησοῦ	of
Χριστοῦ	Christ
Σίμων	Simon
Ἱεροσολύμοις	Jerusalem
Σαμάρεια	Samaria
Πέτρον	Peter
Ἰωάννην	John
Ἰησοῦ	Jesus
Σίμων	Simon
Πέτρος	Peter
Σίμων	Simon
Ἱεροσόλυμα	Jerusalem
Φίλιππον	Philip
Ἰερουσαλὴμ	Jerusalem
Γάζαν	Gaza
Αἰθίοψ	Ethiopian
Αἰθίοψ	an
Κανδάκης	Candace
Κανδάκης	of
Αἰθιόπων	Ethiopians
Αἰθιόπων	of
Ἰερουσαλήμ	Jerusalem
Ἠσαΐαν	Isaiah
Φιλίππῳ	Philip
Φιλίππῳ	to
Φίλιππος	Philip
Ἠσαΐαν	Isaiah
Φίλιππον	Philip
Φιλίππῳ	Philip
Φιλίππῳ	to
Φίλιππος	Philip
Ἰησοῦν	Jesus
Ἰησοῦν	about
Φίλιππος	Philip
Φίλιππον	Philip
Φίλιππος	Philip
Ἄζωτον	Azotus
Καισάρειαν	Caesarea
Σαῦλος	Saul
Δαμασκὸν	Damascus
Ἰερουσαλήμ	Jerusalem
Δαμασκῷ	Damascus
Ἰησοῦς	Jesus
Σαῦλος	Saul
Δαμασκόν	Damascus
Δαμασκῷ	Damascus
Ἁνανίας	Ananias
Σαῦλον	Saul
Ταρσέα	Tarsus
Ταρσέα	a
Ταρσέα	man
Ταρσέα	from
Ἁνανίαν	Ananias
Ἁνανίας	Ananias
Ἰερουσαλήμ	Jerusalem
Ἰσραήλ	Israel
Ἰσραήλ	of
Ἁνανίας	Ananias
Σαοὺλ	Saul
Ἰησοῦς	Jesus
Δαμασκῷ	Damascus
Ἰησοῦν	Jesus
Ἰερουσαλὴμ	Jerusalem
Σαῦλος	Saul
Δαμασκῷ	Damascus
χριστός	Christ
Ἰερουσαλὴμ	Jerusalem
Βαρναβᾶς	Barnabas
Δαμασκῷ	Damascus
Ἰησοῦ	Jesus
Ἰησοῦ	of
Ἰερουσαλήμ	Jerusalem
Καισάρειαν	Caesarea
Ταρσόν	Tarsus
Ἰουδαίας	Judea
Γαλιλαίας	Galilee
Σαμαρείας	Samaria
Πέτρον	Peter
Λύδδα	Lydda
Λύδδα	in
Αἰνέαν	Aeneas
Πέτρος	Peter
Αἰνέα	Aeneas
Ἰησοῦς	Jesus
Χριστός	Christ
Λύδδα	Lydda
Λύδδα	in
Σαρῶνα	Sharon
Ἰόππῃ	Joppa
Ταβιθά	Tabitha
Δορκάς	Dorcas
Λύδδας	Lydda
Ἰόππῃ	Joppa
Πέτρος	Peter
Πέτρος	Peter
Δορκάς	Dorcas
Πέτρος	Peter
Ταβιθά	Tabitha
Πέτρον	Peter
Ἰόππης	Joppa
Ἰόππῃ	Joppa
Σίμωνι	Simon
Καισαρείᾳ	Caesarea
Κορνήλιος	Cornelius
Κορνήλιε	Cornelius
Ἰόππην	Joppa
Σίμωνά	Simon
Πέτρος	Peter
Σίμωνι	Simon
Ἰόππην	Joppa
Πέτρος	Peter
Πέτρε	Peter
Πέτρος	Peter
Πέτρος	Peter
Κορνηλίου	Cornelius
Σίμωνος	Simon’s
Σίμων	Simon
Πέτρος	Peter
Πέτρου	Peter
Πέτρος	Peter
Κορνήλιος	Cornelius
Ἰόππης	Joppa
Καισάρειαν	Caesarea
Κορνήλιος	Cornelius
Πέτρον	Peter
Κορνήλιος	Cornelius
Πέτρος	Peter
Κορνήλιος	Cornelius
Κορνήλιε	Cornelius
Ἰόππην	Joppa
Σίμωνα	Simon
Πέτρος	Peter
Σίμωνος	Simon
Σίμωνος	of
Πέτρος	Peter
Ἰησοῦ	Jesus
Χριστοῦ	Christ
Ἰουδαίας	Judea
Γαλιλαίας	Galilee
Ἰωάννης	John
Ἰησοῦν	Jesus
Ναζαρέθ	Nazareth
Ἰερουσαλήμ	Jerusalem
Πέτρου	Peter
Πέτρῳ	Peter
Πέτρος	Peter
Ἰησοῦ	Jesus
Ἰησοῦ	of
Χριστοῦ	Christ
Ἰουδαίαν	Judea
Πέτρος	Peter
Ἰερουσαλήμ	Jerusalem
Πέτρος	Peter
Ἰόππῃ	Joppa
Πέτρε	Peter
Καισαρείας	Caesarea
Ἰόππην	Joppa
Σίμωνα	Simon
Πέτρον	Peter
Ἰωάννης	John
Ἰησοῦν	Jesus
Χριστόν	Christ
Φοινίκης	Phoenicia
Κύπρου	Cyprus
Ἀντιοχείας	Antioch
Κύπριοι	Cyprus
Κυρηναῖοι	Cyrene
Ἀντιόχειαν	Antioch
Ἰησοῦν	Jesus
Ἰερουσαλὴμ	Jerusalem
Βαρναβᾶν	Barnabas
Ἀντιοχείας	Antioch
Ταρσὸν	Tarsus
Σαῦλον	Saul
Ἀντιόχειαν	Antioch
Ἀντιοχείᾳ	Antioch
Χριστιανούς	Christians
Ἱεροσολύμων	Jerusalem
Ἀντιόχειαν	Antioch
Ἅγαβος	Agabus
Κλαυδίου	Claudius
Κλαυδίου	of
Ἰουδαίᾳ	Judea
Βαρναβᾶ	Barnabas
Σαύλου	Saul
Ἡρῴδης	Herod
Ἰάκωβον	James
Ἰωάννου	John
Ἰωάννου	of
Πέτρον	Peter
Πέτρος	Peter
Ἡρῴδης	Herod
Πέτρος	Peter
Πέτρου	Peter
Πέτρος	Peter
Ἡρῴδου	Herod
Ἡρῴδου	of
Μαρίας	Mary
Μαρίας	of
Ἰωάννου	John
Ἰωάννου	of
Μάρκου	Mark
Ῥόδη	Rhoda
Πέτρου	Peter’s
Πέτρον	Peter
Πέτρος	Peter
Πέτρος	Peter
Ἰουδαίας	Judea
Καισάρειαν	Caesarea
Τυρίοις	Tyre
Τυρίοις	with
Τυρίοις	people
Τυρίοις	of
Βλάστον	Blastus
Ἡρῴδης	Herod
Βαρναβᾶς	Barnabas
Σαῦλος	Saul
Ἰερουσαλὴμ	Jerusalem
Ἰωάννην	John
Μᾶρκον	Mark
Ἀντιοχείᾳ	Antioch
Βαρναβᾶς	Barnabas
Συμεὼν	Simeon
Νίγερ	Niger
Λούκιος	Lucius
Κυρηναῖος	Cyrenian
Μαναήν	Manaen
Ἡρῴδου	Herod
Ἡρῴδου	of
Σαῦλος	Saul
Βαρναβᾶν	Barnabas
Σαῦλον	Saul
Σελεύκειαν	Seleucia
Κύπρον	Cyprus
Σαλαμῖνι	Salamis
Ἰωάννην	John
Πάφου	Paphos
Βαριησοῦ	Bar-Jesus
Σεργίῳ	Sergius
Παύλῳ	Paulus
Βαρναβᾶν	Barnabas
Σαῦλον	Saul
Ἐλύμας	Elymas
Σαῦλος	Saul
Παῦλος	Paul
Πάφου	Paphos
Παῦλον	Paul
Πέργην	Perga
Παμφυλίας	Pamphylia
Παμφυλίας	in
Ἰωάννης	John
Ἱεροσόλυμα	Jerusalem
Πέργης	Perga
Ἀντιόχειαν	Antioch
Παῦλος	Paul
Ἰσραηλῖται	Israel
Ἰσραηλῖται	of
Ἰσραὴλ	Israel
Αἰγύπτου	Egypt
Αἰγύπτου	of
Χανάαν	Canaan
Χανάαν	of
Σαμουὴλ	Samuel
Σαοὺλ	Saul
Κίς	Kish
Κίς	of
Βενιαμίν	Benjamin
Βενιαμίν	of
Δαυὶδ	David
Ἰεσσαί	Jesse
Ἰεσσαί	of
Ἰσραὴλ	Israel
Ἰσραὴλ	to
Ἰησοῦν	Jesus
Ἰωάννου	John
Ἰσραήλ	Israel
Ἰσραήλ	of
Ἰωάννης	John
Ἀβραὰμ	Abraham’s
Ἰερουσαλὴμ	Jerusalem
Πιλᾶτον	Pilate
Γαλιλαίας	Galilee
Ἰερουσαλήμ	Jerusalem
